,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
Superconducting proximity effect and Majorana fermions at the surface of a topological insulator. ,0,0,291,304,287,326,297,265,249,171,110,29,3,0,0,0,0,0,0,0,0,,0,0,0,0
Colloquium: Topological insulators. ,2,1020,1234,1267,1264,1124,999,830,687,343,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum computation with quantum dots. ,0,177,219,206,206,186,225,236,239,252,268,295,355,290,343,300,246,243,208,149,78,38,9,0,0,0
A scheme for efficientquantum computationwith linear optics. ,0,178,196,207,269,198,200,184,191,203,173,180,193,194,178,179,167,128,96,21,0,0,0,0,0,0
Experimental quantum teleportation. ,0,145,128,137,150,151,122,146,133,140,151,155,178,168,160,156,162,149,165,156,116,81,45,1,0,0
Non-Abelian anyons and topologicalquantum computation,0,331,339,314,300,307,281,231,227,198,163,85,16,0,0,0,0,0,0,0,0,0,0,0,0,0
A silicon-based nuclear spinquantum computer. ,0,60,92,97,104,92,105,114,99,143,155,139,159,169,181,215,176,169,170,168,95,38,4,0,0,0
Fault-tolerantquantum computationby anyons. ,0,245,295,255,213,211,236,203,174,151,174,154,120,73,50,50,28,3,0,0,0,0,0,0,0,0
Polynomial-time algorithms for prime factorization and discrete logarithms on aquantum computer. ,1,152,188,186,199,190,168,128,96,101,115,117,103,111,104,90,92,92,113,67,65,32,20,0,0,0
Superconducting proximity effect and Majorana fermions at the surface of a topological insulator,0,235,291,304,287,326,297,265,249,171,110,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0
QUANTUM COMPUTATIONSWITH COLD TRAPPED IONS. ,0,63,61,78,74,90,70,101,82,91,94,114,109,109,110,130,101,156,152,130,143,88,91,56,46,14
