,Palavras,quantum,qubit,spin,algorithm,qubits,quantum computing,entanglement,single,optical,computer,systems,superconducting,gates,reversible,electron,circuits,quantum dot,design,linear,high
0,quantum,11592.0,1228.0,614.0,1074.0,472.0,1132.0,472.0,395.0,429.0,739.0,472.0,259.0,401.0,120.0,258.0,368.0,560.0,237.0,281.0,238.0
1,qubit,1228.0,3154.0,323.0,57.0,1155.0,67.0,339.0,304.0,107.0,73.0,129.0,352.0,190.0,11.0,87.0,55.0,125.0,47.0,86.0,86.0
2,spin,614.0,323.0,1287.0,13.0,180.0,77.0,86.0,147.0,80.0,45.0,57.0,31.0,47.0,1.0,209.0,13.0,141.0,22.0,5.0,42.0
3,algorithm,1074.0,57.0,13.0,1282.0,19.0,38.0,19.0,12.0,6.0,53.0,25.0,9.0,21.0,30.0,3.0,27.0,2.0,27.0,23.0,9.0
4,qubits,472.0,1155.0,180.0,19.0,1155.0,45.0,149.0,64.0,52.0,24.0,15.0,196.0,61.0,2.0,44.0,14.0,45.0,12.0,26.0,32.0
5,quantum computing,1132.0,67.0,77.0,38.0,45.0,1132.0,19.0,26.0,83.0,12.0,44.0,28.0,21.0,8.0,34.0,27.0,24.0,21.0,53.0,24.0
6,entanglement,472.0,339.0,86.0,19.0,149.0,19.0,1116.0,36.0,49.0,14.0,62.0,43.0,11.0,2.0,29.0,9.0,25.0,4.0,36.0,17.0
7,single,395.0,304.0,147.0,12.0,64.0,26.0,36.0,982.0,78.0,17.0,14.0,34.0,61.0,6.0,95.0,19.0,95.0,21.0,31.0,53.0
8,optical,429.0,107.0,80.0,6.0,52.0,83.0,49.0,78.0,789.0,25.0,12.0,3.0,37.0,18.0,27.0,10.0,65.0,12.0,97.0,40.0
9,computer,739.0,73.0,45.0,53.0,24.0,12.0,14.0,17.0,25.0,780.0,23.0,15.0,17.0,6.0,20.0,9.0,6.0,21.0,10.0,16.0
10,systems,472.0,129.0,57.0,25.0,15.0,44.0,62.0,14.0,12.0,23.0,762.0,21.0,17.0,8.0,20.0,13.0,11.0,16.0,25.0,18.0
11,superconducting,259.0,352.0,31.0,9.0,196.0,28.0,43.0,34.0,3.0,15.0,21.0,631.0,18.0,0.0,15.0,61.0,3.0,10.0,14.0,20.0
12,gates,401.0,190.0,47.0,21.0,61.0,21.0,11.0,61.0,37.0,17.0,17.0,18.0,612.0,56.0,14.0,26.0,17.0,37.0,29.0,47.0
13,reversible,120.0,11.0,1.0,30.0,2.0,8.0,2.0,6.0,18.0,6.0,8.0,0.0,56.0,584.0,2.0,153.0,2.0,196.0,7.0,10.0
14,electron,258.0,87.0,209.0,3.0,44.0,34.0,29.0,95.0,27.0,20.0,20.0,15.0,14.0,2.0,580.0,7.0,87.0,8.0,4.0,15.0
15,circuits,368.0,55.0,13.0,27.0,14.0,27.0,9.0,19.0,10.0,9.0,13.0,61.0,26.0,153.0,7.0,563.0,3.0,72.0,15.0,12.0
16,quantum dot,560.0,125.0,141.0,2.0,45.0,24.0,25.0,95.0,65.0,6.0,11.0,3.0,17.0,2.0,87.0,3.0,560.0,5.0,6.0,15.0
17,design,237.0,47.0,22.0,27.0,12.0,21.0,4.0,21.0,12.0,21.0,16.0,10.0,37.0,196.0,8.0,72.0,5.0,527.0,4.0,7.0
18,linear,281.0,86.0,5.0,23.0,26.0,53.0,36.0,31.0,97.0,10.0,25.0,14.0,29.0,7.0,4.0,15.0,6.0,4.0,502.0,12.0
19,high,238.0,86.0,42.0,9.0,32.0,24.0,17.0,53.0,40.0,16.0,18.0,20.0,47.0,10.0,15.0,12.0,15.0,7.0,12.0,491.0
